	reactome-id	wp-id
243	R-HSA-111932	
244	R-HSA-111932	
245	R-HSA-8852405	WP3818
246	R-HSA-195721	
247	R-HSA-201681	WP3339
248	R-HSA-3772470	
249	R-HSA-3769402	
250	R-HSA-4641263	
251	R-HSA-5368598	
252	R-HSA-201722	
253	R-HSA-4411364	
254	R-HSA-4641257	
255	R-HSA-4641258	
256	R-HSA-4641262	
257	R-HSA-201688	
258	R-HSA-3858494	WP3558
259	R-HSA-4086400	
260	R-HSA-5099900	
261	R-HSA-4608870	
262	R-HSA-5140745	
263	R-HSA-4086398	
264	R-HSA-195253	WP2773
265	R-HSA-4641265	
266	R-HSA-196299	
267	R-HSA-3238698	WP2790
268	R-HSA-2028269	WP2714
269	R-HSA-177929	WP1910
270	R-HSA-180292	
271	R-HSA-179812	
272	R-HSA-212718	
273	R-HSA-182971	
274	R-HSA-180336	
275	R-HSA-170834	WP2742
276	R-HSA-2173791	
277	R-HSA-2173793	
278	R-HSA-2173793	
279	R-HSA-2173796	
280	R-HSA-2173796	
281	R-HSA-2173795	
282	R-HSA-2173795	
283	R-HSA-2173789	
284	R-HSA-2173788	
285	R-HSA-2586552	WP3374
286	R-HSA-354192	WP1832
287	R-HSA-354192	WP1832
288	R-HSA-354194	
289	R-HSA-354194	
290	R-HSA-372708	
291	R-HSA-372708	
292	R-HSA-372790	
293	R-HSA-388396	WP1824
294	R-HSA-416476	
295	R-HSA-416476	
296	R-HSA-114508	WP1809
297	R-HSA-114508	WP1809
298	R-HSA-114508	WP1809
299	R-HSA-426048	
300	R-HSA-426048	
301	R-HSA-426048	
302	R-HSA-416482	
303	R-HSA-397795	
304	R-HSA-392451	
305	R-HSA-418217	
306	R-HSA-381753	
307	R-HSA-418597	
308	R-HSA-418555	
309	R-HSA-418594	
310	R-HSA-881907	WP2664
311	R-HSA-2179392	
312	R-HSA-500792	WP1825
313	R-HSA-420499	
314	R-HSA-373080	
315	R-HSA-419812	
316	R-HSA-420092	
317	R-HSA-373076	
318	R-HSA-375281	
319	R-HSA-391903	
320	R-HSA-391906	
321	R-HSA-391908	
322	R-HSA-444209	
323	R-HSA-3296197	
324	R-HSA-419408	
325	R-HSA-375280	
326	R-HSA-390648	
327	R-HSA-390696	
328	R-HSA-390666	
329	R-HSA-390650	
330	R-HSA-390651	
331	R-HSA-419771	
332	R-HSA-418038	
333	R-HSA-417957	
334	R-HSA-417973	
335	R-HSA-375276	
336	R-HSA-389397	
337	R-HSA-444473	
338	R-HSA-380095	
339	R-HSA-380108	
340	R-HSA-388479	
341	R-HSA-444821	
342	R-HSA-111885	WP1978
343	R-HSA-202040	
344	R-HSA-112040	
345	R-HSA-112043	
346	R-HSA-111996	
347	R-HSA-111995	
348	R-HSA-170670	
349	R-HSA-170670	
350	R-HSA-170660	
351	R-HSA-180024	
352	R-HSA-194315	WP1917
353	R-HSA-195258	WP3406
354	R-HSA-5627117	WP3365
355	R-HSA-5666185	WP3384
356	R-HSA-5627123	WP3351
357	R-HSA-5663213	WP3388
358	R-HSA-5627083	WP3322
359	R-HSA-5625740	WP3357
360	R-HSA-5625886	WP3397
361	R-HSA-5663220	WP3379
362	R-HSA-5668599	WP3396
363	R-HSA-5625970	WP3337
364	R-HSA-5625900	WP3376
365	R-HSA-5626467	WP3330
366	R-HSA-194840	
367	R-HSA-5358351	
368	R-HSA-5358346	WP3401
369	R-HSA-5362798	
370	R-HSA-5610787	WP3316
371	R-HSA-5610783	
372	R-HSA-5610785	
373	R-HSA-5610780	
374	R-HSA-5632684	WP3313
375	R-HSA-5635838	
376	R-HSA-5632681	
377	R-HSA-5635851	
378	R-HSA-73887	
379	R-HSA-75157	
